cell_id,centroid_lon,centroid_lat,activity,小区均价,总建面,容积率,绿化率,green_view,sky_view,interface_continuity,walkability,traffic_pressure,street_activity,architecture,交通设施,生活服务,公司企业,汽车相关,商务住宅,休闲娱乐,酒店住宿,餐饮美食,购物消费,科教文化,医疗保健,旅游景点,运动健身,金融机构,diversity,交通设施_1,生活服务_1,公司企业_1,汽车相关_1,商务住宅_1,休闲娱乐_1,酒店住宿_1,餐饮美食_1,购物消费_1,科教文化_1,医疗保健_1,旅游景点_1,运动健身_1,金融机构_1
9205,121.43920084133956,31.17771200508239,0,0.0,0.0,0.0,0.0,0.0472636904035295,0.2749253681727818,0.2592722347804476,0.0324422972542898,0.0235451970781597,0.0003817422049385,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,3,208,255,211,19,160,18,52,277,310,81,78,42,54,26
9049,121.43830252605544,31.17848056971476,0,0.0,0.0,0.0,0.0,0.0719029562813894,0.2711315155029298,0.2086622374398368,0.0061274256025041,0.0337290082659038,0.0015651839120046,0,1,1,1,0,0,0,0,1,2,2,0,0,1,0,7,227,249,213,21,160,20,50,264,303,76,79,28,58,30
9520,121.4409974719078,31.17848056971476,0,0.0,0.0,0.0,0.0,0.2921425501505533,0.1633981068929036,0.0550243059794107,0.0559821128845215,0.0013221104939777,0.000163714090983,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,197,245,169,16,157,22,51,241,320,73,55,41,50,29
9363,121.44009915662367,31.17848056971476,0,0.0,0.0,0.0,0.0,0.105804920196533,0.274633884429932,0.158830165863037,0.0037741661071777,0.0064983367919919,0.0005812644958495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,252,204,19,164,21,52,267,332,75,74,42,55,29
9677,121.44189578719192,31.17848056971476,0,0.0,0.0,0.0,0.0,0.172448754310608,0.3001902103424072,0.0530676841735839,0.1252957582473756,0.0121408700942992,0.000332236289978,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,3,188,220,167,14,155,21,47,220,301,74,48,40,43,26
9206,121.43920084133956,31.17848056971476,0,0.0,0.0,0.0,0.0,0.0596002472771538,0.3092312812805177,0.1788937780592176,0.005652798546685,0.0052293671502005,0.0005517005920409,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,3,219,250,206,19,162,19,53,272,315,77,77,42,58,28
9050,121.43830252605544,31.17924912810881,0,0.0,0.0,0.0,0.0,0.0339305400848388,0.3304104328155519,0.2285982608795164,0.0027213096618651,0.0020301818847655,0.0001073837280273,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,227,284,225,27,160,25,57,280,433,104,72,23,70,31
9207,121.43920084133956,31.17924912810881,0,0.0,0.0,0.0,0.0,0.052487055460612,0.325171947479248,0.1687458356221514,0.0049734115600585,0.0059666633605954,0.0004968643188475,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,215,269,208,22,161,24,58,260,334,78,73,38,62,30
9051,121.43830252605544,31.18001768026445,0,0.0,0.0,0.0,0.0,0.0851794878641765,0.0710539817810058,0.0922506649455565,0.0137799580891926,0.0103794733683266,0.0003770192464192,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,232,277,217,33,159,29,60,351,432,110,62,19,73,31
9208,121.43920084133956,31.18001768026445,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,213,299,209,29,156,30,59,357,463,109,61,34,71,31
9052,121.43830252605544,31.1807862261816,0,0.0,0.0,0.0,0.0,0.0529845555623372,0.2273237705230712,0.1316417853037515,0.012779951095581,0.0235268274943033,0.0005205472310383,0,3,2,7,0,2,1,0,1,4,0,0,0,0,1,8,234,297,235,30,162,32,68,361,447,118,63,14,83,34
9209,121.43920084133956,31.1807862261816,0,0.0,0.0,0.0,0.0,0.073006272315979,0.06721031665802,0.1221654415130615,0.0050631761550902,0.0055781602859496,0.0010054111480712,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,223,286,221,25,153,30,61,345,445,116,63,27,79,37
